2021-08-20/01:17:27	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:27	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:27	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:27	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:27	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:27	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:27	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:28	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:28	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:28	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:28	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:28	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:28	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:28	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:28	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:28	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:28	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:28	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:28	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:28	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:28	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:28	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:28	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:28	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:28	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:28	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:29	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:29	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:29	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:29	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:29	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:29	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:29	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:29	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:29	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:29	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:29	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:29	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:29	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:29	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:29	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:29	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:29	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:29	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:29	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:30	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:30	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:30	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:30	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:30	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:30	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:30	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:30	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:30	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:30	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:30	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:30	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:30	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:30	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:30	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:30	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:30	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:30	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:30	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:31	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:31	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:31	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:31	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:31	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:31	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:31	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:31	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:31	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:31	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:31	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:31	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:31	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:31	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:31	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:31	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:31	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:31	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:31	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:32	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:32	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:32	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:32	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:32	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:32	 	 file_Training_batchs.csv: File loaded successfully!!
2021-08-20/01:17:32	 	 file_Training_batchs.csv: File loaded successfully!!
